Compteur,Numéro de carte,Catégorie(s),Nom de la carte une ligne,Nom carte ligne 1 sur 2,Nom carte ligne 2 sur 2,Trait,Nom du trait une ligne,Nom du trait ligne 1 sur 2,Nom du trait ligne 2 sur 2,Edition,Type(s),Symbole(s),Valid. Cout,Cout catégorie 1,Cout catégorie 2,Type catégorie cout 1,Type catégorie cout 2,+1 SPECIAL,Niveau,@Adresse étoile,@Adresse fond de carte,@Adresse cout 1,@Adresse cout 2,@Adresse illustration 1,@Adresse illustration 2,Dégats Allié,Séparateur Slash,Vie Allié,NBCAR,Description Automatic Size,Correction contributeur 1,Correction contributeur 2,Correction contributeur 3,Correction contributeur 4,Correction contributeur 5,Correction contributeur 7,Correction contributeur 8,Correction contributeur 9,Correction contributeur 10
1,FR-PE-001,Aptitude-Perception,,BONUS DE DÉGATS,À DISTANCE,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Bonus-distance.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance infligent 1 Point de Dégat de base de supplémentaire.,,,,,,,,,
2,FR-PE-002,Aptitude-Perception,,BONUS DE DÉGATS,À DISTANCE,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Bonus-distance.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance infligent 1 Point de Dégat de base de supplémentaire.,,,,,,,,,
3,FR-PE-003,Aptitude-Perception,,BONUS DE DÉGATS,À DISTANCE,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Bonus-distance.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance infligent 1 Point de Dégat de base de supplémentaire.,,,,,,,,,
4,FR-PE-004,Aptitude-Perception,ANTI-TANK,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Anti-tank.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance obtiennent PÉNÉTRANT x1.,,,,,,,,,
5,FR-PE-005,Aptitude-Perception,ANTI-TANK,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Anti-tank.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance obtiennent PÉNÉTRANT x1.,,,,,,,,,
6,FR-PE-006,Aptitude-Perception,ANTI-TANK,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Anti-tank.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance obtiennent PÉNÉTRANT x1.,,,,,,,,,
7,FR-PE-007,Aptitude-Perception,RÉFRACTAIRE,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Réfractaire.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Obtenez 1 Point d'ARMURE ÉNERGÉTIQUE.,,,,,,,,,
8,FR-PE-008,Aptitude-Perception,RÉFRACTAIRE,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Réfractaire.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Obtenez 1 Point d'ARMURE ÉNERGÉTIQUE.,,,,,,,,,
9,FR-PE-009,Aptitude-Perception,RÉFRACTAIRE,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Réfractaire.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Obtenez 1 Point d'ARMURE ÉNERGÉTIQUE.,,,,,,,,,
10,FR-PE-010,Aptitude-Perception,TIREUR EMBUSQUÉ,,,,,,,Edition Beta,Aptitude / SPECIAL / Perception,,,,,,, +1 ,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,,,\Images positionnées\Tireur-embusqué.png,,,,,,Ajoutez 1 Point d'Action Perception à vos ressources. Vos cartes ATTAQUE à Distance obtiennent une chance supplémentaire pour effectuer un Coup Critique.,,,,,,,,,
